column_name,data_type
image_type_30,USER-DEFINED
image_comment_30,text
shopping_street_distance,integer
drugstore_distance,integer
park_distance,integer
bank_distance,integer
other_facility_name,character varying
other_facility_distance,integer
contract_type,USER-DEFINED
property_publication_type,USER-DEFINED
renovation_water,character varying
renovation_water_other,character varying
renovation_water_completion,date
renovation_interior,character varying
renovation_interior_other,character varying
renovation_interior_completion,date
renovation_exterior,character varying
renovation_exterior_other,character varying
renovation_exterior_completion,date
renovation_common_area,character varying
renovation_common_completion,date
renovation_notes,text
energy_consumption_min,integer
energy_consumption_max,integer
insulation_performance_min,integer
insulation_performance_max,integer
utility_cost_min,integer
utility_cost_max,integer
created_at,timestamp without time zone
updated_at,timestamp without time zone
building_structure_id,character varying
current_status_id,character varying
property_type_id,character varying
zoning_district_id,character varying
land_rights_id,character varying
contractor_company_name,character varying
contractor_contact_person,character varying
contractor_phone,character varying
contractor_email,character varying
contractor_address,character varying
contractor_license_number,character varying
source_site,character varying
extraction_confidence,double precision
data_quality_score,double precision
original_data,json
